"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2018Q4","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Three bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","727.13"
"RTB Average Monthly Rent Report","2018Q4","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2018Q4","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Graiguecullen, Carlow","Euro","843.86"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Three bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","754.08"
"RTB Average Monthly Rent Report","2019Q1","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q1","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","All bedrooms","All property types","Graiguecullen, Carlow","Euro","840.87"
"RTB Average Monthly Rent Report","2019Q2","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Three bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","729.23"
"RTB Average Monthly Rent Report","2019Q2","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q2","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","All bedrooms","All property types","Graiguecullen, Carlow","Euro","864.54"
"RTB Average Monthly Rent Report","2019Q3","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Three bed","All property types","Graiguecullen, Carlow","Euro","826.95"
"RTB Average Monthly Rent Report","2019Q3","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","834.93"
"RTB Average Monthly Rent Report","2019Q3","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q3","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","All bedrooms","All property types","Graiguecullen, Carlow","Euro","900.73"
"RTB Average Monthly Rent Report","2019Q4","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Three bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","760.68"
"RTB Average Monthly Rent Report","2019Q4","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2019Q4","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","All bedrooms","All property types","Graiguecullen, Carlow","Euro","913.91"
"RTB Average Monthly Rent Report","2020Q1","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Three bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","873.25"
"RTB Average Monthly Rent Report","2020Q1","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q1","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","All bedrooms","All property types","Graiguecullen, Carlow","Euro","908.99"
"RTB Average Monthly Rent Report","2020Q2","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Three bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2020Q2","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
